Question,Answer
"Hello, I'm interested in making a box.","Sample work 1-2 days, mock-up, screen proof via Line OA

After confirming the mockup and a specification sheet for production Graphic Lay and the production department issue a production order number. Production time 7-8 working days, excluding holidays and public holidays.
Will not count 1 that customers transfer money to start work "
"I want to know the price of the serum box. dropper bottle about 15ml
",What kind of box is it?
"I want to know the price of the serum box. dropper bottle about 15ml
",Do you have a work sample?
"I want to know the price of the serum box. dropper bottle about 15ml
",How much are you interested in doing?
"I want to know the price of the serum box. dropper bottle about 15ml
","Please ask for the size, width * side * height in cm."
"I want to know the price of the serum box. dropper bottle about 15ml
",The shop accepts a minimum production of 100 pieces.
"Hello, price inquiry, sleeping mask box

","What type of box is it? Cream box, soap box, serum box or supplement box?"
"Hello, price inquiry, sleeping mask box

",The size of the export box is not more than A4 A3.
"Hello, price inquiry, sleeping mask box

","Please specify the size, width * side * height in cm."
"Hello, price inquiry, sleeping mask box

",The minimum production is 100 boxes.
"Hello, price inquiry, sleeping mask box

","Design fee 1500 baht/design, at this price the customer will not get Design file."
Ask for price for box production and design.,"Hello, what kind of work is this?"
Ask for price for box production and design.,It's a plug-in box. The size unfolded is no more than A4.
Ask for price for box production and design.,"Please ask for the size, width * side * height in cm."
Ask for price for box production and design.,and bothering to ask for a name-surname Address and contact number too.
Ask for price for box production and design.,Proceed to ask for a price for a moment.
"Hi, would like to know the price of 500/1000 tickets.","Hello, please send me your name-surname, address and contact number."
"Hi, would like to know the price of 500/1000 tickets.",Does the customer have a work file ready to go into production? Or is it a design?
"Hi, would like to know the price of 500/1000 tickets.",It's an art paper work. The size unfolded is no more than A4.
"Hi, would like to know the price of 500/1000 tickets.","The lid box is plugged into the bottom unfolded no more than A4
350 gram art card paper, 4 color printing
Glossy/matt laminated, die-cut, glued on 1 side

100 cards, 25 baht each
500 cards, 8.00 baht each
1,000 each 4.80 baht
2,000 each 4.60 baht
3,000 each, 4.40 baht each

The stated price does not include tax.
Does not include design and does not include shipping."
"Hi, would like to know the price of 500/1000 tickets.",Feel free to consider the price too.
"Soap box, size 5x5x2 cm. Order 500 bags. How much is the price?",What kind of box is produced?
"Soap box, size 5x5x2 cm. Order 500 bags. How much is the price?","Please ask for the size, width * side * height in cm."
"Soap box, size 5x5x2 cm. Order 500 bags. How much is the price?",How much are you interested in doing?
"Soap box, size 5x5x2 cm. Order 500 bags. How much is the price?",Is the customer's bottle heavy?
Please ask It's just what I'm looking at in the box for this bottle size.,"Please send me your name-surname, address, contact number, and I'll ask for a price for a moment."
,"Hello, what kind of box is it?"
"If I order to produce a box of this size, how much does it cost?",Please inform the size of the box for me. Width*side*height cm. Please.
"If I order to produce a box of this size, how much does it cost?",Do you have a ready-to-manufacture or design file?
"If I order to produce a box of this size, how much does it cost?","Box work, plugged in the bottom, plugged in + lock. Please proceed to ask for a price for a moment."
"If I order to produce a box of this size, how much does it cost?","Box lid plugged into the butt plug + lock
350 gram art card paper, 4 color printing
Glossy/matt laminated, die-cut, glued on 1 side
BB cream box


1,000 each 4.50 baht

The stated price does not include tax.
Does not include design and does not include shipping.
Please consider the stated price, thank you."
"If I order to produce a box of this size, how much does it cost?","Hello, what kind of box is it?"
"Hello, interested in making cream boxes 15 G 100 bags",It's a plug-in box.
"Hello, interested in making cream boxes 15 G 100 bags","Do you have a ready-to-manufacture or design file? If so, please send it to me."
"Hello, interested in making cream boxes 15 G 100 bags",Please ask...nickname Contact number... to collect information for sending and making a price
"Hello, interested in making cream boxes 15 G 100 bags",Proceed to ask for a price for a moment.
"Hello, interested in making cream boxes 15 G 100 bags","Hello, I would like to ask for...nickname. Contact phone number...to collect information for sending and making a price.

thank you "
Please inquire about the price of lipstick box production.,Please ask for the size width * side * height in cm. to request a price.
Please inquire about the price of lipstick box production.,"The lid box is plugged into the bottom unfolded no more than A4
350 gram art card paper, 4 color printing
Glossy/matt laminated, die-cut, glued on 1 side

100 cards, 25 baht each
500 cards, 8.00 baht each
1,000 tickets 4.50 baht each
2,000 each 4.60 baht
3,000 each, 4.40 baht each

The stated price does not include tax.
Does not include design and does not include shipping."
Please inquire about the price of lipstick box production.,Feel free to consider the price too.
Please inquire about the price of lipstick box production.,Is the customer serious about the color of the work?
Please inquire about the price of lipstick box production.,"Yes, what kind of box is it?"
"If interested, ask for details about the production of boxes.
",Does the client have any work samples?
"If interested, ask for details about the production of boxes.
",How much are you interested in doing?
"If interested, ask for details about the production of boxes.
","Please ask for the size, width * side * height in cm."
"If interested, ask for details about the production of boxes.
","1000 bags, 5.50 each, free design, box lid, bottom plug, no more than A4"
"If interested, ask for details about the production of boxes.
","Hello, what kind of box are you interested in?"
"Hello, I would like to inquire about the price. make a box
",have a sample Or is the work file ready to go into production?
"Hello, I would like to inquire about the price. make a box
","Please ask for the size, width * side * height in cm."
"Hello, I would like to inquire about the price. make a box
",It's a 350 gsm art paper.
"Hello, I would like to inquire about the price. make a box
","set box
350 gram thick art card paper, 1 page
Spot UV
K-thong pump
4 + 2 color offset printing
1 side laminated
Die cut / glued / ready to use
1,000 each 42.18
3,000 each 23.14
5,000 each 19.28
Please consider the stated price. Thank you."
"Hello, I would like to inquire about the price. make a box
","Hello, do you have a sample of your work?"
"Hello, do you accept the production of snack boxes?",Please inform the size of the box for me. Width*side*height cm. Please.
"Hello, do you accept the production of snack boxes?",How much are you interested in doing?
"Hello, do you accept the production of snack boxes?",Please ask...nickname Contact number... to collect information for sending and making a price
"Hello, do you accept the production of snack boxes?","Front-open lid box, put a snake box
350 gram art card paper, 1 page
4 color printing / offset
Laminated matt/gloss
Die cut / ready to use
500 bags, 33.79 baht each
1,000 bags, 22.17 baht each
3,000 each for 14.19 baht"
"Hello, do you accept the production of snack boxes?","Hello, I would like to ask for...nickname. Contact number...
to collect information for sending and making a price."
"Hello, I'm interested in producing product boxes.",Please inform the size of the box for me. Width*side*height cm. Please.
"Hello, I'm interested in producing product boxes.","The lid box is plugged into the bottom
350 gram art card paper, 4 color printing
Glossy/matt laminated, die-cut, glued on 1 side


100 tickets 50 baht each
500 tickets, 12 baht each
1,000 tickets 7.50 baht each
2,000 tickets 7.50 baht each


The stated price does not include tax.
Does not include design and does not include shipping."
"Hello, I'm interested in producing product boxes.",Interested in producing boxes at a good rate?
"Hello, I'm interested in producing product boxes.","Payment amount over 15,000 baht. Free delivery. Transport company car in Bangkok. Perimeter."
"Hello, I'm interested in producing product boxes.","Hello, please inform me the size of the box. Width*side*height cm. Please."
"Interested in making a box, missing no more than A4","Please send me your name-surname, address, contact number, and I'll ask for a price for a moment."
"Interested in making a box, missing no more than A4",How many jobs do you want to produce?
"Interested in making a box, missing no more than A4","The lid box is plugged into the bottom, with hanging ears
350 gram art card paper, 4 color printing
Glossy/matt laminated, die-cut, glued on 1 side, ready to use.

There are 3 types of work, 1,000 each, 7.35 baht each.
There are 3 types of work, 3,000 each, 4.46 baht each.
There are 3 types of work, 5,000 each, 3.83 baht each.

The stated price does not include tax.
Does not include design and does not include shipping."
"Interested in making a box, missing no more than A4","Hello, what kind of box are you interested in?"
"Asking for 200 boxes.
",have a sample Or is the work file ready to go into production?
"Asking for 200 boxes.
",How much do you do?
"Asking for 200 boxes.
",Please inform the size of the box for me. Width*side*height cm. Please.
"Asking for 200 boxes.
",Proceed to ask for a price for a moment.
"Asking for 200 boxes.
","Hello, please inform me the size of the box. Width*side*height cm. Please."
"Hello, I would like to inquire about the price of the soap box.","Please send me your name-surname, address, contact number, and I'll ask for a price for a moment."
"Hello, I would like to inquire about the price of the soap box.",How much is the customer interested in producing?
"Hello, I would like to inquire about the price of the soap box.","The lid box is plugged into the bottom
350 gram art card paper, 4 color printing
Glossy/matte laminate /K gold shiny pump, die-cut, glue on the side 1 point, ready to use

1,000 bags, 6.50 each = 6,500 baht, the price includes K-Thong pump.

Delivery fee for work is 300 baht, Bangkok / provinces.

Total 6,500+300 = 6,800 baht "
"Hello, I would like to inquire about the price of the soap box.","The payment amount is not over 10,000 baht. Please pay the full amount."
"Hello, I would like to inquire about the price of the soap box.",Unfolded size not more than A4 (21x29.5 cm.) 350 gram art card paper with glossy lamination. Box production 3-5 days from the date of mock-up confirmation and excluding public holidays and as specified by the company. only
Price for soap box / cream box,"Amount of 100 cards: 25 baht each.
500 tickets: 8 baht each
Number of 1000 cards: 5 baht each"
Price for soap box / cream box,"Additional options:
1. Stamping K, various colors (K silver, K gold, color foil) 1 point, price 1,500 baht
2. Convex pump, submerged pump, 1 point, price 1,500 baht
3. Pump SPOT UV 1 point, price 2,500 baht
4. K-Thong pump, buy around the box 3,000 baht or more"
additional option price,"Lamination has gloss laminate/matte laminate/uv/varnish foil about 10 colors silver, gold, rose gold, laser silver, matt gold, copper, black, blue, green - other optional Ask the sales department - additional options suitable for 500 boxes, 1000 boxes - conditions are as specified by the factory, read the conditions - add a package option around the box For more information, please contact the sales department."
additional option price,"Thai Print Shop No. 6 Soi Bang Khae 12, Bang Khae Subdistrict, Bang Khae District, Bangkok, 10160"
"I'm interested in making product boxes.
","Please include your name, address and contact number."
"I'm interested in making product boxes.
","Please specify the size, width x side x height in cm. for requesting the correct price.
"
"I'm interested in making product boxes.
",How much do you want to produce?
"I'm interested in making product boxes.
",Proceed to ask for a price.
"I'm interested in making product boxes.
","Hello, what kind of box is the product?"
How much is the production price for 500 pieces?,The customer has a work file. Ready to go into production?
How much is the production price for 500 pieces?,"Please specify the size, width x side x height in cm. for me to request a price.
"
How much is the production price for 500 pieces?,How much do you want to produce?
How much is the production price for 500 pieces?,"Please include your name, address and contact number."
How much is the production price for 500 pieces?,"Hello, what kind of work is this?"
"Ask for the price of the product.
",The minimum box work is 100 pieces.
"Ask for the price of the product.
",What type of paper are you interested in? Most of them will be made of art card paper.
"Ask for the price of the product.
",The customer has a work file. Ready to go into production?
"Ask for the price of the product.
","Front Lid Box
350 gram art card paper, 4 color printing
Drill a clear plastic window on the lid 1 point.
Laminated on the side, die-cut / ready to use

5,000 each, 12.22 baht each
10,000 cards, 10.75 baht each
30,000 each 9.88 baht


The stated price does not include tax.
Does not include design and does not include shipping."
"Hello, I would like to inquire about making boxes.
","Hello, do you have a file?"
"Hello, I would like to inquire about making boxes.
",What type of paper are you interested in? Most of them will be made of art card paper.
"Hello, I would like to inquire about making boxes.
","Please specify the size, width x side x height in cm. for me to request a price.
"
"Hello, I would like to inquire about making boxes.
",How much are you interested in producing?
"Hello, I would like to inquire about making boxes.
","Please include your name, address and contact number."
"Hello, please ask. Made to order cake boxes, size 1 pound","Hello, please specify the size, width * side * height. cm. Give it too."
"Hello, please ask. Made to order cake boxes, size 1 pound
",Please ask...nickname Contact number... to collect information for sending and making a price
"Hello, please ask. Made to order cake boxes, size 1 pound","In the case that the purchase amount is more than 15,000 baht, the company's car delivers for free in Bangkok and perimeter."
"Hello, please ask. Made to order cake boxes, size 1 pound",How much is the customer interested in producing?
"Hello, please ask. Made to order cake boxes, size 1 pound",Customers bother sending work files. Come to us. Let's do it.
"Order a box of soap.
","Hello, can I have the size of the job please? Width*side*height cm. Yes."
"Order a box of soap.
","Please inform your name-surname, address and contact number."
"Order a box of soap.
",The customer has a work file. Ready to go into production? Or get a design
"Order a box of soap.
",How much are you interested in producing?
"Hello, please ask.","Hello, what type of work are you interested in?"
"Hello, please ask.",The minimum box work is 100 pieces.
"Hello, please ask.","Please specify the size, width x side x height in cm."
"Hello, please ask.",Does the customer have a work file ready to go into production? or have design
"Hello, please ask.","Please inform your name-surname, address and contact number. Proceed to ask for a price."
Ask for a bird wing bra box. How much is the price? What is the minimum?,"Hello, do you have a sample of your work?"
Ask for a bird wing bra box. How much is the price? What is the minimum?,The minimum production box is 100 pieces.
Ask for a bird wing bra box. How much is the price? What is the minimum?,Please ask for size width * side * height in cm. to request a price.
Ask for a bird wing bra box. How much is the price? What is the minimum?,"Please include your name, address, contact number."
Ask for a bird wing bra box. How much is the price? What is the minimum?,"The lid box is plugged into the bottom unfolded no more than A4
350 gram art card paper, 4 color printing
Glossy/matt laminated, die-cut, glued on 1 side


100 cards, 25 baht each
500 cards, 8.00 baht each
1,000 each 4.80 baht
2,000 each 4.60 baht
3,000 each, 4.40 baht each


The stated price does not include tax.
Does not include design and does not include shipping."
"Ask for the production of lipstick boxes.
","Hello, do you have a sample of your work?"
"Ask for the production of lipstick boxes.
","Please send me your name-surname, address and contact number to request a price."
"Ask for the production of lipstick boxes.
",Does the customer have a work file ready to go into production? or have design
"Ask for the production of lipstick boxes.
",How much is the customer interested in producing?
"Ask for the production of lipstick boxes.
",Minimum of 100 cards.
"Hello, do you accept box production?","Hello, what type of boxes are you interested in producing? What kind of product is this box?"
"Hello, do you accept box production?",Do you have an Ai work file ready to go into production?
"Hello, do you accept box production?",Please ask for the size width * side * height cm. To request a price.
"Hello, do you accept box production?","Please inform your name-surname, address and contact number."
"Hello, do you accept box production?",Proceed to ask for a price for a moment.
"I would like to inquire about the price of the box.
","Hello, what kind of product box are you interested in?"
"I would like to inquire about the price of the box.
",How much does the customer want to produce?
"I would like to inquire about the price of the box.
",Please ask for the size width * side * height cm. To request a price.
"I would like to inquire about the price of the box.
","Please inform your name-surname, address and contact number."
"I would like to inquire about the price of the box.
",Proceed to ask for a price for a moment.
"Hello, do you accept cookie boxes?","Hello, what kind of handsome are you interested in?"
"Hello, do you accept cookie boxes?",Please ask for the size width * side * height cm. To request a price.
"Hello, do you accept cookie boxes?",How much are you interested in producing?
"Hello, do you accept cookie boxes?",The minimum box work is 100 pieces.
"Hello, do you accept cookie boxes?","Please include your name, address, contact number. Proceed to ask for a price for a moment."
Get a gift box,"Hello, how much is the box?"
Get a gift box,Does the customer have a work file ready to go into production? Or have a design
Get a gift box,please specify size Width*side*height cm. Please give it to me.
Get a gift box,How much do you want to produce?
Get a gift box,Proceed to ask for a price for a moment.
Interested in the cereal box?,"Hello, what kind of box is it?"
Interested in the cereal box?,"Please inform your name-surname, address and contact number."
Interested in the cereal box?,What kind of paper is the customer interested in? Most other customers will choose to use art card paper for the most part.
Interested in the cereal box?,Ask for the size width * side * height cm to make a price request.
Interested in the cereal box?,"The lid box is plugged into the bottom, 11*5.5*16 cm.
350 gram art card paper, 4 color printing
Coated with glossy laminate / die-cut side, glue on the side 1 point / ready to use

500 bags, 13.60 baht each
1,000 tickets 8.50 baht each


The stated price does not include tax.
Does not include design and does not include shipping."
"Hello, I would like to inquire about the price of a pull-in drawer paper box please.","Hello, the customer has a work file. or an example?"
"Hello, I would like to inquire about the price of a pull-in drawer paper box please.","Please inform your name-surname, address and contact number."
"Hello, I would like to inquire about the price of a pull-in drawer paper box please.","The minimum box set is 1000 bags, the price is 18 baht per bag."
"Hello, I would like to inquire about the price of a pull-in drawer paper box please.",How much is the customer interested in producing?
"Hello, I would like to inquire about the price of a pull-in drawer paper box please.","The lid box is plugged into the bottom, 4.4*4.4*12.7 cm.
350 gram art card paper, 4 color printing, digital system
Perforate the window, do not stick to the clear plastic.
Coated with glossy laminate / die-cut side, glue on the side 1 point / ready to use


200 tickets, 25 baht each


The stated price does not include tax.
Does not include design and does not include shipping."
Ask for a bird's wing bra box.,"Hi, what kind of box are you interested in?"
Ask for a bird's wing bra box.,Do you have a template or a sample of your work?
Ask for a bird's wing bra box.,"Please inform your name-surname, address and contact number."
Ask for a bird's wing bra box.,Ask for the size width * side * height cm to make a price request.
Ask for a bird's wing bra box.,Proceed to ask for a price for a moment.
Ask for permission to inquire and estimate the price of the packaging box.,Hello. What type of product are you interested in?
Ask for permission to inquire and estimate the price of the packaging box.,Is there a work file ready to go into production?
Ask for permission to inquire and estimate the price of the packaging box.,"Please inform your name-surname, address and contact number."
Ask for permission to inquire and estimate the price of the packaging box.,Ask for the size width * side * height cm to make a price request.
Ask for permission to inquire and estimate the price of the packaging box.,"Design fee 1500 baht / per design, at this price, the customer does not receive the design file."
Interested in craft soap boxes?,"Hello, please ask for the size width * side * height in cm. to request a price."
Interested in craft soap boxes?,What kind of box is it?
Interested in craft soap boxes?,Is there a work file ready to go into production? Or get a design
Interested in craft soap boxes?,Proceed to ask for a price for a moment. Kraft paper. You need to ask for price.
Interested in craft soap boxes?,How much does the customer want to produce?
Can you order it?,"Hello, what type of work are you interested in producing?"
Can you order it?,It's a box What type of box are you interested in?
Can you order it?,"Yes, please ask for the size of the product. Width*side*height cm. to request a price."
Can you order it?,How much do you want to produce?
Can you order it?,Proceed to ask for a price for a moment.
I need a size like this. How much is it?,"Hello, please give me the size of width * side * height in cm."
I need a size like this. How much is it?,"Please inform your name-surname, address and contact number."
I need a size like this. How much is it?,How much will the customer produce?
I need a size like this. How much is it?,"Paper box, art card 350 gram. Size not over A4, minimum 100 pieces."
I need a size like this. How much is it?,"Total over 15,000 free delivery in Bangkok. Perimeter."
I would like to ask for details on how to order a cake box.,"Hello, the customer has a work file. or an example?"
I would like to ask for details on how to order a cake box.,What kind of box is it? Is it a window mount?
I would like to ask for details on how to order a cake box.,Ask for the size width * side * height cm to make a price request.
I would like to ask for details on how to order a cake box.,"Please inform your name-surname, address and contact number."
I would like to ask for details on how to order a cake box.,Proceed to ask for a price for a moment.
want to make a box,"Hello, what kind of box is it?"
want to make a box,Does the customer have a work file ready to go into production?
want to make a box,Please ask for size width * side * height cm to make a price request.
want to make a box,"Please inform your name-surname, address and contact number."
want to make a box,Proceed to ask for a price for a moment.
"Hello, I am interested in an octagonal soap box.","Hello, the customer has a work file. or an example? Or get a design"
"Hello, I am interested in an octagonal soap box.",Please ask for size width * side * height cm to make a price request.
"Hello, I am interested in an octagonal soap box.","Please inform your name-surname, address and contact number."
"Hello, I am interested in an octagonal soap box.","Octagon shape box, the minimum quantity is 500 pieces."
"Hello, I am interested in an octagonal soap box.",How much is the customer interested in producing?
"Hello, I would like to inquire about the price of the production of balm boxes.","Hello, what kind of box is the customer interested in?"
"Hello, I would like to inquire about the price of the production of balm boxes.",Please ask...nickname Contact phone number...to collect information for sending and making a price.
"Hello, I would like to inquire about the price of the production of balm boxes.",Can I have the size width*side*height in cm?
"Hello, I would like to inquire about the price of the production of balm boxes.","plug-in lid box
350 gram art card paper, 4 color printing
Drill the window without sticking to clear plastic 1 point, must be 1.5 cm. away from the edge of the folding line (1cm. Risk of putting glue and the glue will bounce)
Glossy/matt laminated, die-cut, glued on 1 side, ready to use
 
1,000 each 6.50 baht = 6,500 baht

Delivery fee 300 baht
The stated price does not include tax."
"Hello, I would like to inquire about the price of the production of balm boxes.","The payment amount is not over 10,000 baht. Please pay the full amount."
"Hello, I'm interested in making a box with a low price.","Hello, what kind of box is it?"
"Hello, I'm interested in making a box with a low price.",Please ask for size width * side * height cm to make a price request.
"Hello, I'm interested in making a box with a low price.","Please inform your name-surname, address and contact number."
"Hello, I'm interested in making a box with a low price.",The size of the box unfolded is not more than A4. How much do you want to produce? Is there a work file ready to go into production?
"Hello, I'm interested in making a box with a low price.","Yes, please proceed to ask for a price for a moment."
Ask for product prices.,"Hello, what type of work are you interested in producing?"
Ask for product prices.,"Is it a box work or a paper bag work, customers?"
Ask for product prices.,What kind of product is it in a box?
Ask for product prices.,Please ask for size width * side * height cm to make a price request.
Ask for product prices.,"Please inform your name-surname, address and contact number."
Ask for permission to inquire and estimate the price of the packaging box.,"Hello, what kind of box is it?"
Ask for permission to inquire and estimate the price of the packaging box.,Please ask for size width * side * height cm to make a price request.
Ask for permission to inquire and estimate the price of the packaging box.,"Please inform your name-surname, address and contact number."
Ask for permission to inquire and estimate the price of the packaging box.,"The lid box is plugged into the bottom unfolded no more than A4
350 gram art card paper, 4 color printing
Glossy/matt laminated, die-cut, glued on 1 side


100 cards, 25 baht each
500 cards, 8.00 baht each
1,000 each 4.80 baht"
Ask for permission to inquire and estimate the price of the packaging box.,Product lock + add 1000 baht - 2000 baht
"Hello, do you accept box production?","Hello, accept box production and design too."
"Hello, do you accept box production?",What kind of box are you interested in? Do you have a work sample?
"Hello, do you accept box production?",Please ask for size width * side * height cm to make a price request.
"Hello, do you accept box production?","Please inform your name-surname, address and contact number."
"Hello, do you accept box production?",How many are you interested in producing?
Do you sell boxes for inhalers/perfume?,"Hello, what kind of box is it?"
Do you sell boxes for inhalers/perfume?,Does the customer have a picture of the sample work?
Do you sell boxes for inhalers/perfume?,"Please inform your name-surname, address and contact number."
Do you sell boxes for inhalers/perfume?,Ask for the size width * side * height cm to make a price request.
Do you sell boxes for inhalers/perfume?,What kind of paper do you want?
Would you like to make a bracelet box with a drawer?,"Hello, do you have a sample of your work? or the product"
Would you like to make a bracelet box with a drawer?,Please ask for size width * side * height cm to make a price request.
Would you like to make a bracelet box with a drawer?,"Please inform your name-surname, address and contact number."
Would you like to make a bracelet box with a drawer?,Our shop doesn't have a successful size. There are only production according to customer's size.
Would you like to make a bracelet box with a drawer?,How much do you want to produce?
Ask for production price.,"Hello, what kind of job is it?"
Ask for production price.,The minimum box work will be at 100 bags.
Ask for production price.,"Please inform your name-surname, address and contact number."
Ask for production price.,Please ask for size width * side * height cm to make a price request. There is no success in the shop.
Ask for production price.,"What quantity is produced, customer?"
"Hi, can you give me a price please?","Hello, what kind of job is it?"
"Hi, can you give me a price please?","Please inform your name-surname, address and contact number."
"Hi, can you give me a price please?",Please ask for size width * side * height cm to make a price request. There is no success in the shop.
"Hi, can you give me a price please?",How many are you interested in producing?
"Hi, can you give me a price please?",The minimum is 100 cards.
I want to print a box to contain the cream jar.,"Hello, what kind of box are you interested in?"
I want to print a box to contain the cream jar.,"Please inform your name-surname, address and contact number."
I want to print a box to contain the cream jar.,Please ask for the size of width * side * height in cm. Please give me to make a price request.
I want to print a box to contain the cream jar.,Does the customer have a work file ready to go into production? Or get a design
I want to print a box to contain the cream jar.,How many are you interested in producing?
"I just have a box work, would you mind asking for a quote?","Hello, please send me your name-surname, address, contact number."
"I just have a box work, would you mind asking for a quote?",Please ask for the size of width * side * height in cm. Please give me to make a price request.
"I just have a box work, would you mind asking for a quote?",Which file does the client have?
"I just have a box work, would you mind asking for a quote?",How much do you want to produce?
"I just have a box work, would you mind asking for a quote?",Proceed to ask for a price for a moment.
Help figure out the price of a jewelry box. Inside there is a card for attaching earrings or necklaces.,"Hello, do you have a sample of your work? or the product"
Help figure out the price of a jewelry box. Inside there is a card for attaching earrings or necklaces.,Is there a work file ready to go into production?
Help figure out the price of a jewelry box. Inside there is a card for attaching earrings or necklaces.,Please ask for the size width * side * height in cm. to request a price.
Help figure out the price of a jewelry box. Inside there is a card for attaching earrings or necklaces.,"Please inform your name-surname, address and contact number."
Help figure out the price of a jewelry box. Inside there is a card for attaching earrings or necklaces.,"box
350 gram art card paper, 4 color printing
Glossy/matt laminated, die-cut, no glue, ready to use


100 cards, 25 baht each
500 cards, 8.00 baht each
1,000 each 4.80 baht
2,000 each 4.60 baht
3,000 each, 4.40 baht each"
1000 bags,"Hello, what kind of job is it?"
1000 bags,What kind of paper is the box?
1000 bags,Please ask for size width * side * height in cm. to request a price too.
1000 bags,How much does the customer want to produce?
1000 bags,"DOUBLE S box size 10*3.5*14cm
350 gram art card paper, 4 color printing
Coated with gloss laminate, die-cut, glue on 1 side, ready to use.

1,000 each 6.50 = 6,500 baht
Delivery fee 300 baht

Total 6,500+300+vat 7% = 7,276 baht

The payment amount is not over 10,000 baht, please pay the full amount."
"If I order to produce a box of this size, how much does it cost?","Hello, please inform the customer about the size in centimeters."
"If I order to produce a box of this size, how much does it cost?","Box size unfolded not more than A4, minimum 100 pieces."
"If I order to produce a box of this size, how much does it cost?","Please inform your name-surname, address and contact number."
"If I order to produce a box of this size, how much does it cost?",How much is the customer interested in producing?
"If I order to produce a box of this size, how much does it cost?","The lid is inserted into the butt plug + lock
350 gram art card paper, 4 color printing
Glossy/matt laminated, die-cut, glued on 1 side
BB cream box

100 cards, 25 baht each
500 tickets, 8.00 baht each"
I will inquire about the price of the box.,"Hello, what kind of box is it? Is there any special technique?"
I will inquire about the price of the box.,What rate is it?
I will inquire about the price of the box.,"Please inform your name-surname, address and contact number."
I will inquire about the price of the box.,"please specify size Width*side*height cm., too, to request a price"
I will inquire about the price of the box.,"The lid box is plugged into the bottom
350 gram art card paper, 4 color printing
Glossy/matt laminated, die-cut, glued on 1 side


100 tickets 50 baht each
500 bags, 10.40 baht each
1,000 tickets 6.50 baht each
2,000 each for 6.50 baht."
What is the price of 2000 pieces?,"Hello, what kind of job is it?"
What is the price of 2000 pieces?,Is there a work file ready to go into production? or work samples?
What is the price of 2000 pieces?,"please specify size Width*side*height cm., too, to request a price"
What is the price of 2000 pieces?,"Please inform your name-surname, address and contact number."
What is the price of 2000 pieces?,"The lid box is plugged into the bottom unfolded no more than A4
350 gram art card paper, 4 color printing
Glossy/matt laminated, die-cut, glued on 1 side
2000 each 4.60 baht
This price does not include 7% VAT."
"Hello, what is the production rate?","Hello, what type of work are you interested in producing?"
"Hello, what is the production rate?",The minimum box work will be at 100 bags.
"Hello, what is the production rate?",How many are you interested in producing?
"Hello, what is the production rate?","Please inform your name-surname, address and contact number."
"Hello, what is the production rate?",Please ask for the size width * side * height cm. Please give me to make a price request.
I want to create a packaging box brand.,"Hi, what kind of box are you interested in?"
I want to create a packaging box brand.,Do you have a work sample? Is there a file ready to go into production?
I want to create a packaging box brand.,Please ask for the size width * side * height in cm. to request a price.
I want to create a packaging box brand.,"Please inform your name-surname, address and contact number."
I want to create a packaging box brand.,The minimum box is 100 pieces.
Interested in designing a cake box?,What kind of box is it? Like a window?
Interested in designing a cake box?,Please ask for the size width * side * height in cm. to request a price.
Interested in designing a cake box?,The minimum box is 100 pieces.
Interested in designing a cake box?,"Please inform your name-surname, address and contact number."
Interested in designing a cake box?,Proceed to ask for a price for a moment.
I want to make a brand box.,"Hello, what kind of box are you interested in?"
I want to make a brand box.,"Please inform your name-surname, address and contact number."
I want to make a brand box.,"Can I have the size, width * side * height cm., too, to request a price."
I want to make a brand box.,How much do you want to produce?
I want to make a brand box.,Is there a work file ready to go into production? or work samples? Or get a design
"If you are interested in a box, produce a red pia snack box.","Hello, what kind of box are you interested in?"
"If you are interested in a box, produce a red pia snack box.",Does the customer have a work file ready to go into production? Or get a design
"If you are interested in a box, produce a red pia snack box.","Please inform your name-surname, address and contact number."
"If you are interested in a box, produce a red pia snack box.",Please ask for the size width * side * height cm. to request a price.
"If you are interested in a box, produce a red pia snack box.",How much do you want to produce?
would like to have a price estimation to order the production of kraft paper boxes,"Hello, do you have a work file ready to go into production?"
would like to have a price estimation to order the production of kraft paper boxes,"Please ask for the size, width * side * height in cm."
would like to have a price estimation to order the production of kraft paper boxes,"Please inform your name-surname, address and contact number."
would like to have a price estimation to order the production of kraft paper boxes,Craft paper minimum 1000 pieces.
would like to have a price estimation to order the production of kraft paper boxes,Do you have a work sample? Is there a file ready to go into production?
Ask for the price of the box production.,"Hi, what kind of box are you interested in?"
Ask for the price of the box production.,The minimum box is 100 pieces.
Ask for the price of the box production.,"Please ask for the size, width * side * height in cm."
Ask for the price of the box production.,"Please inform your name-surname, address and contact number."
Ask for the price of the box production.,How many are you interested in producing?
"Hello, I will order to produce a box.","Hello, please specify the size. Width*side*height cm. Please."
"Hello, I will order to produce a box.",Which type of packaging box is the customer interested in producing?
"Hello, I will order to produce a box.",How much do you want to produce?
"Hello, I will order to produce a box.","The lid box is plugged into the bottom
350 gram art card paper, 4 color printing
Laminated on the side, die-cut, glued on the side 1 point, ready to use

RICHY box 1,000 each 4.80 = 4,800 baht

Total 4,800 + vat7% = 5,136 baht

Clients come to work themselves."
"Hello, I will order to produce a box.",Can you start working today? I will make an offer for you.
Can you produce mask boxes?,"Hello, the minimum order is 500 cards."
Can you produce mask boxes?,Does the customer have a work file ready to go into production?
Can you produce mask boxes?,"please specify size Width*side*height cm., too, to request a price"
Can you produce mask boxes?,"Please inform your name-surname, address and contact number."
Can you produce mask boxes?,Ask for a price for a moment.
